,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
142,Shilpa Sciences,2014,Bangalore,HealthTech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,Ashwin Lal,AngelList India,0,Pre-series A,2020
143,Arzooo,2016,Bangalore,Tech Startup,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",0,Seed,2020
144,MindTickle,2011,Pune,SaaS platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",1000000000,Debt,2020
145,Krimanshi,2015,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",6000000,Seed,2020
146,Slice,2016,Bangalore,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",50000000,Debt,2020
147,Rapawalk,2017,Bangalore,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",3000000,Seed,2020
148,Oga Fit's,2017,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,9Unicorns,0,Pre-series A,2020
149,LAVAL,2016,Bangalore,Cosmetics,"Laval Cosmetics, affordable makeup for all ages","Shrishti, Prithika",Jazal Group,0,Pre-series A,2020
150,Stride Ventures,2019,New Delhi,Venture capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Ishpreet Gandhi,Small Industries Development Bank of India,800000000,Seed,2020
151,BlackSoil,2016,Mumbai,FinTech,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,,100000000,Seed,2020
152,Biocon,1978,Bangalore,Healthcare,"Biocon is a healthcare and technology, company focused on biotechnology.",Kiran Mazumdar-Shaw,Goldman Sachs,150000000,Seed,2020
153,Clientjoy,2013,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",8000000,Pre-series A,2020
154,Xpressbees,2015,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",1000000000,Seed,2020
155,GalaxyCard,2017,Gurugram,FinTech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,"Amit Kumar, Gunjeet Singh",India Accelerator,0,Seed,2020
156,Wellness Forever,2008,Mumbai,HealthTech,Wellness Forever is the one-stop destination for wellness,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",1000000000,Seed,2020
157,MoooFarm,2019,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",5000000,Pre-seed,2020
158,BitClass,2020,Bangalore,PaaS startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",20000000,Seed,2020
159,Gonuts,2020,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",4000000,Seed,2020
160,Uolo,2013,Bangalore,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",20000000,Seed,2020
161,Kirana King,2014,"Jaipur, Rajastan",Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,9000000,Pre-series A,2020
162,Jade Forest,0,Delhi,Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",,2500000,Seed,2020
163,iKure,2010,Kolkata,HealthTech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",0,Seed,2020
164,FrontRow,0,Bangalore,EdTech,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",32000000,Seed,2020
165,Reliance Retail,2006,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",100000000,Seed,2020
166,TUBBR,2019,"Frisco, Texas, United States",Social Media,World's First Personal Social Network,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,0,Seed,2020
167,Ather Energy,2013,Bangalore,Automobiles,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,350000000,Series D,2020
168,Routematic,2007,Bangalore,SaaS startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",20000000,Seed,2020
169,LivFin,2017,New Delhi,FinTech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG",47000000,Seed,2020
170,Universal Sportsbiz Pvt Ltd,2012,Bangalore,Fashion startup,A fashion startup based in Bengaluru.,Anjana Reddy,"Accel, Alteria Capital",0,Seed,2020
171,Lattu Kids,2017,Mumbai,EdTech,Lattu kids is an edutainment platform for preschool kids.,Vivek Bhutyani,Mumbai Angels Network,0,Seed,2020
172,Eggoz,2016,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",15000000,Pre-series A,2020
173,Steradian Semiconductors,2016,Bangalore,Deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar.,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,0,Seed,2020
174,CHARGE+ZONE,2018,Gujarat,EV startup,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,30000000,Pre-series A,2020
175,Stones2milestones,2008,Gurugram,EdTech,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",20000000,Bridge,2020
176,Udacity,2011,California,EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",750000000,Debt,2020
177,AjnaLens,2014,Thane,AR/VR startup,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",10000000,Bridge,2020
178,Gully Network,2019,Bangalore,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",12000000,Pre-series A,2020
179,TurboHire,2018,Hyderabad,Recruitment startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",10000000,Seed,2020
180,Traya,0,Mumbai,HealthTech,work with our customers closely to get their hair health sorted for long-term effective results,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",0,Seed,2020
181,Charcoal Eats,2015,Mumbai,QSR startup,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.","Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,20000000,Seed,2020
182,Mitron TV,2020,Bangalore,Video platform,Mitron is a free short videoplatform for next generation,"Shivank Agarwal, Anish Khandelwal",9Unicorns,0,Seed,2020
183,Svami,2016,Mumbai,Food & Bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Sahil Jatana,"Niren Shah, Rukam Capital Trust",8000000,Seed,2020
184,Dhurnia,2018,"Dhingsara, Haryana",EdTech,Developer of an online learning platform intended for various competitive exam preparations.,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",1000000,Seed,2020
185,Expertrons,2019,Mumbai,EdTech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",0,Seed,2020
186,Leena AI,2015,"New York, United States",AI startup,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",80000000,Seed,2020
187,Bizlog,2016,Bangalore,Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,10000000,Seed,2020
188,Tamasha.live,2020,Mumbai,Gaming,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",3000000,Seed,2020
189,Fedo,2017,Bangalore,AI startup,Artificial Intelligence based Credit Score for Health,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,10000000,Seed,2020
190,FabHotels,2015,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",10000000,Seed,2020
191,Freshokartz,2016,"Jaipur, Rajastan",AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",10000000,Pre-series A,2020
192,FlexiLoans,2016,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,60000000,Debt,2020
193,Agrix,2020,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.","Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,0,Seed,2020
194,BharatAgri,2017,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",0,Pre-series A,2020
195,FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",1210000000,Series C,2020
196,Credable,2017,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,45000000,Seed,2020
197,Railofy,2019,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",50000000,Seed,2020
198,Finova Capital,2016,"Jaipur, Rajastan",FinTech,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",550000000,Seed,2020
199,Teachmint,2020,Bangalore,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,35000000,Seed,2020
200,Peel-Works,2010,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",30000000,Seed,2020
201,Janani,2020,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,2000000,Pre-seed,2020
202,Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",33000000,Seed,2020
203,Finelistings,2015,New Delhi,Luxury car startup,A Used Luxury Car Marketplace,Aneesh Mathur,Justdial,0,Seed,2020
204,Wellversed,2018,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",0,Pre-series A,2020
205,Nykaa,2012,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",0,Seed,2020
206,Jumbotail,2015,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),110000000,Series B2,2020
207,Winzo,2018,New Delhi,Gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",20000000,Seed,2020
208,mCaffeine,2015,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",50000000,Series B,2020
209,Pocket FM,2018,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",50000000,Series A,2020
210,Snackible,2015,Mumbai,Healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,,"Mumbai Angels, Murali Nair",0,Bridge,2020
211,FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",160000000,Seed,2020
212,Jumbotail,2015,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",110000000,Series B2,2020
213,Nykaa,2012,Mumbai,E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Katrina Kaif, Steadview Capital",0,Seed,2020
214,TagZ Foods,2019,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",0,Seed,2020
